iter	Passed	Remaining
0	88	88191
1	180	89876
2	257	85493
3	329	82052
4	409	81515
5	544	90149
6	633	89923
7	709	87959
8	788	86831
9	875	86698
10	970	87292
11	1054	86822
12	1140	86618
13	1231	86714
14	1309	85959
15	1393	85692
16	1484	85841
17	1562	85259
18	1644	84887
19	1719	84233
20	1798	83857
21	1875	83390
22	1958	83183
23	2044	83140
24	2116	82550
25	2192	82147
26	2274	81949
27	2366	82157
28	2450	82038
29	2531	81855
30	2610	81613
31	2686	81267
32	2766	81068
33	2844	80803
34	2920	80526
35	3001	80372
36	3081	80196
37	3161	80033
38	3238	79794
39	3313	79532
40	3391	79326
41	3475	79275
42	3555	79134
43	3636	79017
44	3716	78876
45	3795	78710
46	3871	78495
47	3948	78307
48	4023	78097
49	4103	77963
50	4176	77718
51	4260	77673
52	4337	77509
53	4424	77511
54	4503	77370
55	4584	77280
56	4668	77232
57	4747	77113
58	4830	77038
59	4911	76943
60	4995	76892
61	5075	76780
62	5155	76682
63	5234	76551
64	5345	76895
65	5422	76739
66	5503	76633
67	5590	76619
68	5670	76506
69	5751	76411
70	5825	76223
71	5907	76146
72	6019	76434
73	6101	76346
74	6190	76347
75	6267	76199
76	6353	76153
77	6431	76021
78	6519	76004
79	6599	75892
80	6687	75871
81	6770	75796
82	6852	75708
83	6938	75664
84	7031	75692
85	7124	75719
86	7218	75757
87	7293	75591
88	7374	75487
89	7463	75464
90	7550	75417
91	7637	75373
92	7722	75314
93	7800	75182
94	7882	75091
95	7961	74967
96	8045	74901
97	8132	74851
98	8227	74877
99	8317	74856
100	8398	74756
101	8488	74731
102	8568	74622
103	8655	74572
104	8740	74501
105	8823	74413
106	8901	74286
107	8991	74262
108	9070	74148
109	9155	74079
110	9235	73963
111	9317	73870
112	9394	73741
113	9476	73646
114	9555	73535
115	9641	73472
116	9720	73359
117	9800	73252
118	9882	73164
119	9970	73120
120	10056	73053
121	10138	72962
122	10219	72869
123	10303	72791
124	10378	72648
125	10463	72579
126	10543	72473
127	10624	72382
128	10707	72296
129	10793	72231
130	10879	72173
131	10958	72063
132	11037	71953
133	11119	71862
134	11195	71737
135	11287	71708
136	11367	71605
137	11452	71539
138	11543	71500
139	11630	71446
140	11709	71334
141	11785	71211
142	11860	71081
143	11937	70963
144	12017	70859
145	12096	70754
146	12172	70632
147	12251	70527
148	12333	70442
149	12416	70358
150	12496	70263
151	12584	70210
152	12667	70125
153	12748	70031
154	12829	69941
155	12904	69818
156	12993	69769
157	13073	69667
158	13149	69553
159	13231	69467
160	13311	69367
161	13398	69308
162	13471	69176
163	13542	69036
164	13623	68942
165	13707	68865
166	13779	68734
167	13855	68619
168	13933	68512
169	14014	68426
170	14103	68370
171	14180	68265
172	14256	68150
173	14330	68029
174	14409	67930
175	14489	67837
176	14580	67796
177	14663	67714
178	14745	67633
179	14828	67552
180	14911	67472
181	14992	67383
182	15065	67258
183	15135	67122
184	15223	67063
185	15299	66954
186	15382	66876
187	15460	66778
188	15549	66722
189	15630	66636
190	15710	66542
191	15790	66453
192	15866	66343
193	15942	66236
194	16020	66134
195	16101	66049
196	16175	65932
197	16268	65896
198	16349	65809
199	16433	65735
200	16506	65615
201	16596	65565
202	16681	65491
203	16749	65354
204	16818	65221
205	16903	65151
206	16979	65048
207	17061	64966
208	17137	64860
209	17217	64769
210	17323	64776
211	17405	64695
